start,end,curr_price,lower_price,upper_price,X_start,Y_start,liquidity,X_left,X_mint,Y_left,Y_mint,X_fee,X_reserve,Y_fee,Y_reserve,APR,Impermanent_loss,PnL,Yield
1704913200,1705518000,1.1537698346886482e-10,0.18756753334532666,2.23347757771199,5e+18,5e+18,11415379452632547328,-0.00337907,29927227309.9668,0.000490491928636675,7.313653967287979,613078.95980005,29891414110.160797,7.490997942132e-05,7.317784594284875,0.0006741027962380489,1.292799883196257e-05,1.2927998831962583e-05,0.0013526924894200583
1705518000,1706122800,1.1544761078912931e-10,0.7964518362039764,1.6265735352233865,2.98920271891206e+18,7.317859504264296e+18,30657843604321509376,1412638.35270084,45034876046.36271,-3.44126e-13,5.570385566118409,169028952.66453168,44947557552.710526,0.016504566925140577,5.580463193580904,0.0014931585262940156,2.863591694262185e-05,2.8635916942624957e-05,0.33444290145890687
1706122800,1706727600,1.1550166452808948e-10,0.6052129546831692,1.819697115156161,4.511658650537506e+18,5.596967760506044e+18,20975261776473477120,-0.0051175,39723853910.57372,8.4423336543777e-05,6.219399179280358,87421357.15405118,39678168951.88109,0.007763470349235567,6.224674633187344,0.0005957762124379025,1.1425845170040436e-05,1.1425845170041964e-05,0.16526048307862112
1706727600,1707332400,1.1560716039943646e-10,1.0415374774028365,1.3849772535648421,3.976559030903514e+18,6.23243810353658e+18,73423716954384482304,3363123.75895995,59291083631.069595,1.69785e-13,3.9765971161745792,47261039.80337298,58979293697.11487,0.005287086302319588,4.012625815051159,0.007919075878076328,0.00015187268807269577,0.0001518726880726967,0.09925532824353893
1707332400,1707937200,1.156670979653146e-10,0.49175998722291414,1.9360832078692225,5.902655473691824e+18,4.017912901353478e+18,17533561972980434944,-0.00459184,37060485990.375725,0.000388582698845827,6.556705233490269,557636.98894053,37018229509.591324,6.9420048976966e-05,6.561591651453429,0.0006090222001716735,1.1679877811511533e-05,1.1679877811511545e-05,0.00123499731282933
1707937200,1708542000,1.1574492010487327e-10,0.7322125663124913,1.6976985449523616,3.7018787146580265e+18,6.561661071502406e+18,26606180675421016064,527145.57171384,43189063718.26016,-3.9059e-13,5.847830737518918,323886079.36201596,43105883153.143074,0.029953550577207,5.85745522819367,0.0015561841555637786,2.9844627640943447e-05,2.9844627640949173e-05,0.6217656696613872
1708542000,1709146800,1.1578542474372453e-10,0.5675810718820892,1.8631505280129352,4.342976923250509e+18,5.887408778770877e+18,19831077081730715648,-0.00496784,39044187544.05277,7.1822547105726e-05,6.394895002563021,253864004.4604869,39011943151.84726,0.021177245422979416,6.398627780129289,0.00031196767818563294,5.982941773418853e-06,5.982941773423098e-06,0.4632861756169325
1709146800,1709751600,1.1580011493316158e-10,0.8753833752453833,1.556248140660986,3.926580715630775e+18,6.419805025552267e+18,38035237367130406912,981427.34525052,48582914971.27906,-2.61441e-13,5.3407982149389035,154533855.44032735,48560493641.388535,0.016524839853724816,5.343394442825166,7.830449481060924e-05,1.501730037460877e-06,1.5017300374637386e-06,0.31385471091598605
1709751600,1710356400,1.1593256037210793e-10,0.2167255342560987,2.2172333670946034,4.871502749682886e+18,5.35991928267889e+18,12101939248705269760,-0.00357124,31187063274.24976,0.000415242374972255,7.389041358091557,300042009.67296207,31122805430.422768,0.015350051542998476,7.396486677905191,0.002016786611427826,3.867809939724184e-05,3.867809939724598e-05,0.45556065315585204
1710356400,1710961200,1.1599516317034806e-10,1.148082426561197,1.2872232459420385,3.1422847440095734e+18,7.411836729448189e+18,183743031985099505664,58345064.93138159,86996210009.57838,1.516264e-12,0.961665472886118,191498400.64740756,86535645314.11758,0.022190422474124012,1.0150743316215887,0.0067978171183075585,0.00013036909541959334,0.000130369095419597,0.40149209678576614
1710961200,1711566000,1.1602336101225699e-10,0.42284188553768154,2.0134808839688114,8.672714371476498e+18,1.0372647540957128e+18,16167365530776969216,-0.00440036,36176160740.13825,0.000963993305981942,6.899383971032531,13042882.76380003,36157918165.13019,0.001511268387921217,6.901500278682233,0.00012085457109125967,2.317758897640351e-06,2.317758897640596e-06,0.02725400021744952
1711566000,1712170800,1.1604190468687952e-10,0.9980020984608853,1.4357421829989514,3.6170961047893985e+18,6.903011547070155e+18,59357427487895576576,2718789.94107533,55686249853.55157,-5.631e-15,4.638240251081893,39221969.04063052,55642217626.17214,0.004549450490604932,4.643349426338647,0.00019178132596645088,3.677998032232566e-06,3.6779980322333045e-06,0.08198592139067597
