start,end,curr_price,lower_price,upper_price,X_start,Y_start,liquidity,X_left,X_mint,Y_left,Y_mint,X_fee,X_reserve,Y_fee,Y_reserve,APR,Impermanent_loss,PnL,Yield
1704049200,1704135600,1.151812144517852e-10,0.6041246055893114,1.8146093438217636,5e+18,5e+18,20925148460700065792,-0.00508127,39648648938.065216,0.000161638926085513,6.191854465295625,19457.79867842,39636719864.267525,3.616361868395e-06,6.193228386442652,0.0002851806283388205,7.813167899693707e-07,7.813167899693712e-07,5.4444149202013594e-05
1704135600,1704222000,1.1519665387305984e-10,1.0389370156617654,1.3805526307528764,3.96367393220662e+18,6.193232002804521e+18,73245518221719633920,3353425.13274193,59098021209.96766,1.5805e-13,3.951047472554558,1292270.98445425,59052284392.738075,0.000154316570519414,3.9563158477713833,0.0011978135700925795,3.281681013952246e-06,3.2816810139522725e-06,0.0028178512808464035
1704222000,1704308400,1.1518453007832012e-10,0.18218823544905013,2.237053823260576,5.905357666372253e+18,3.956470164341903e+18,11329630338001213440,-0.00335208,29810023330.203537,0.000718427709427391,7.324174385747702,639047429.4476811,29815578518.76368,0.02920050392943852,7.323534480289809,0.00011424447953106278,3.12998574048824e-07,3.1299857405770626e-07,0.9556019792677712
1704308400,1704394800,1.1521238910159728e-10,0.8716274954511398,1.54786746790851,3.045462594821136e+18,7.352734984219249e+18,37833908239073968128,1897132.92917433,48421768787.19419,-2.65093e-13,5.282772583553766,59979.90084467,48379145485.02081,1.1824104333157e-05,5.287682722270881,0.001995267594618766,5.466486560599356e-06,5.466486560599358e-06,0.00017248125111344126
1704394800,1704481200,1.1518353868682658e-10,0.7886851156260137,1.6309709978021814,4.837920546492166e+18,5.287694546375214e+18,30465614565276319744,-0.00644689,45277276470.98773,3.8669818433477e-05,5.645000792280594,294256.25031413,45312820348.90172,2.9797375705151e-05,5.640906209948098,0.0017231110571736758,4.720852211434723e-06,4.720852211434728e-06,0.0005864591673775256
1704481200,1704567600,1.1522663414486339e-10,0.676190501082411,1.7439840710168135,4.5313114605152036e+18,5.640936007323804e+18,24029182883323576320,-0.00556882,41938118496.79466,4.8518668396339e-05,6.029592612958489,508637.65657902,41896245597.12619,6.3348871076418e-05,6.034416583898898,0.003032194443523512,8.307382037050707e-06,8.307382037050717e-06,0.0011227872076867236
1704567600,1704654000,1.1523180665004178e-10,1.0777723318628991,1.3427036976474234,4.1896754234782766e+18,6.034479932769975e+18,95014407428966875136,5214851.50531473,65169499042.741425,4.0559e-13,3.3519707673554944,174362.20235873,65149632766.62401,2.2380555316856e-05,3.354259942864127,0.0001726507724901526,4.7301581504151033e-07,4.73015815041514e-07,0.0003910141692554765
1704654000,1704740400,1.1519907156721658e-10,0.4726205050140159,1.9471498387684263,6.514980712882638e+18,3.3542823234194437e+18,17139979095876069376,-0.00451154,36838546445.531685,0.000508388854254436,6.61580544849066,138347.77879877,36861230867.787544,1.3322314516873e-05,6.613191852845898,0.0012477861308447967,3.4185921393008103e-06,3.4185921393008125e-06,0.0002694257287920994
1704740400,1704826800,1.152448463644607e-10,0.5755251349236273,1.8440595195740648,3.686136921556634e+18,6.613205175160415e+18,20122976571966078976,174393.47165238,39300346212.413216,-4.64264e-13,6.332189100786742,159909757.29502267,39263108260.74714,0.01316566575480395,6.336479730440935,0.0028643991981297835,7.847669035969333e-06,7.84766903597201e-06,0.2908881349998455
1704826800,1704913200,1.1529915206087669e-10,1.1326882281261428,1.2883822103718978,3.942301801804216e+18,6.34964539619574e+18,161435335564194283520,26541126.91058663,81541278655.78862,1.162707e-12,1.4921884946455806,1403652.12454784,81187095201.22989,0.000202624894194938,1.5330159284079388,0.03221700375685754,8.82657637174179e-05,8.826576371741793e-05,0.0033446683322284807
1704913200,1704999600,1.15292498348038e-10,0.7109999310628788,1.7099654690764627,8.118849885335444e+18,1.5332185533021338e+18,25775604072150544384,-0.00580945,42933769636.81225,0.000529477344161081,5.942985887263273,211618.67753501,42940696275.54818,2.359503997534e-05,5.9421872747346525,7.721069807837366e-05,2.115361591188279e-07,2.1153615911883194e-07,0.00044056800624365464
1704999600,1705086000,1.1529855616125104e-10,0.5670705042352548,1.853858489420976,4.2940907894225715e+18,5.942210869774628e+18,19889066419868368896,-0.00496452,39156014318.18111,6.1649370985875e-05,6.378475424147463,44197.2498644,39151148211.88852,5.657774441657e-06,6.37903646443795,4.9386905086835046e-05,1.353065892789992e-07,1.3530658927900013e-07,9.871923907314396e-05
1705086000,1705172400,1.1530087204295521e-10,0.8469685673769302,1.574247391667933,3.9151192409138386e+18,6.379042122212392e+18,35332928932303855616,837122.92960639,47447595112.28417,-2.96295e-13,5.422286684165359,27424.104789,47444290475.97441,3.543267988962e-06,5.422667707787066,1.282190187244918e-05,3.5128498280682124e-08,3.5128498280682686e-08,6.155521665140431e-05
1705172400,1705258800,1.1531164304800879e-10,0.6184889354729698,1.8037548265892525,4.74443179000792e+18,5.422671251055056e+18,21672267803605200896,-0.00525361,40463761452.72571,0.000107419585045767,6.2273475988188105,42736.57186993,40454334935.2224,6.016399269969e-06,6.228434535272619,0.00017010503282336096,4.660411858174264e-07,4.660411858174273e-07,0.00010046840991104075
