episode,step_count,scaled_action_0,scaled_action_1,raw_reward,scaled_reward,fee_earned,impermanent_loss,cumulative_reward,raw_action_0,raw_action_1,curr_sqrtPriceX96,curr_price,tick,feeGrowthGlobal0X128,feeGrowthGlobal1X128,liquidity_raw,blockTimestamp,tickCumulative,secondsPerLiquidityCumulativeX128,scaled_curr_price,scaled_liquidity,scaled_feeGrowthGlobal0x128,scaled_feeGrowthGlobal1x128
1,1,13802.482152406057,37122.30863372165,0.04405354750448004,0.4405354750448004,0.1428033949832372,0.09874984747875715,0.4405354750448004,0.5487364530563354,0.6923121213912964,12036655936541807656213607003972,23080.888639725417,100472,307776672363882972828948792890294,1030422226645775632928462014957186396,314744765323424164150000,1721984951,130599771666,1191052119572256508105,4.616177727945083,0.31489520587032627,0.0307776672363883,103.04222266457757
1,2,19448.641555070506,40208.104673667345,-48.243706298220694,-482.43706298220695,3.6503529876828016,51.894059285903495,-481.99652750716217,0.7667163610458374,0.8503345847129822,11542887483010822259227658732519,21226.078063117482,99634,596079004866507913981253419301160,1030422226645775632928462014957186396,227632827979398200550000,1722244154,156533636846,1517572013041384619051,4.245215612623497,0.22783580944989723,0.059607900486650794,103.04222266457757
2,1,200.00000000000003,1900.0000000000002,-1.05,-10.5,0.0,0.0,-10.5,-0.1396726369857788,-0.43911439180374146,3543102550313889884510728836658,1999.899987484824,76012,20447548947501399722113072932517,39713674191548128342839624910403417,1573197170373823601600000,1722503356,137940222738,340282366920938463856684194150029635501,0.3999799974969648,1.5731971703738237,0.00204475489475014,3.971367419154813
2,2,2100.0000000000005,3480.825491266194,-1.1,-11.0,0.0,0.0,-21.5,1.2537322044372559,0.8392660617828369,3540654937229235925497803428393,1997.1378373324246,75998,41221628682052893680756409676712,49589943672442647525299149895500816,1569404155860359023000000,1722762558,157639401954,340282366920938463912751731557467225458,0.39942756746648495,1.569404155860359,0.004122162868205289,4.958994367244265
