,start,end,curr_price,lower_price,upper_price,X_start,Y_start,liquidity,X_left,X_mint,Y_left,Y_mint,X_fee,X_reserve,Y_fee,Y_reserve,APR,Impermanent_loss,PnL,Yield
0,1704067200,1704672000,2.21715571177356e-19,2397.4679837187937,4445.569234881264,2.1891418563922941e+18,5000000000.0,807192501911366,-0.05195653,43779211862.41403,0.0,0.0,1000377.93675641,43779211862.41403,2.41697e-13,0.0,-77.61467299264429,1.4932043729969318,-1.4885005779411233,0.004703795055813853
1,1704672000,1705276800,2.4784735925541767e-19,2373.858350008874,4420.1180470181225,4.378021224035078e+18,241697.0,795818127253050,-0.05197747,43781299092.34879,0.0,0.0,56312020.87776603,40275869150.32525,1.5256441e-11,8.50168182e-10,5.092460663419219,0.1715566041186468,0.09766362916146447,0.2692202332801136
2,1705276800,1705881600,2.461189868210299e-19,2615.537669551346,4771.383079160923,4.0332181171203016e+18,865424623.0,864048871872294,-0.05180275,43813470431.67747,0.0,0.0,0.0,43813470431.67747,0.0,0.0,-4.161613189368903,0.07981175979611595,-0.07981175979611595,0.0
3,1705881600,1706486400,2.252490556105991e-19,2372.3712417920574,4394.1886230200325,4.381347043167747e+18,0.0,803802733183695,0.12835944,40883032970.00803,1.54131e-13,7.1892493e-10,5323509.13284143,43857708334.72856,5.62333e-13,0.0,6.195464449731307,-0.10096872631918374,0.11881712643320315,0.01784840011401917
4,1706486400,1707091200,2.286284281768354e-19,2371.3613560724684,4392.366502717683,4.38630318438614e+18,562333.0,803945917220669,-0.0520551,43865520853.23907,0.0,0.0,556261.36877586,43865520853.23907,1.32271e-13,0.0,0.13839052325884038,-6.705922717119903e-05,0.002654064829621596,0.002587005602444692
5,1707091200,1707696000,2.5027302006560366e-19,2334.2329723574862,4353.518053245576,4.3866077114607846e+18,132271.0,790225858350469,-0.05212682,43866653923.94415,0.0,0.0,11273452.25833458,38148360560.86627,4.156485e-12,1.38113586e-09,-20.426916868878052,0.45530827149706954,-0.3917490906360174,0.06355918086105672
6,1707696000,1708300800,2.875207267502811e-19,2768.5008810790673,5042.239132348122,3.815963401312461e+18,1385292345.0,887611873925839,-0.05149495,43678153219.27337,0.0,0.0,16318815.81186636,40682189143.938255,5.439986e-12,8.46088639e-10,82.79709759531389,-1.5058955170238741,1.587889542923828,0.08199402589996103
7,1708300800,1708905600,3.1070190035430463e-19,3045.3992518941473,5586.856531900064,4.0698507959750124e+18,851528625.0,922779524571595,-0.05121696,43651248270.37156,0.0,0.0,863130.2003179,42203222956.77715,7.12697e-13,4.46003108e-10,24.329037535098646,-0.45931674122890204,0.4665842814950425,0.0072675402661336085
8,1708905600,1709510400,3.481394488299375e-19,3293.9538210393885,6038.4068261973225,4.2204086086977464e+18,446715805.0,959175642157927,-0.0510325,43637536147.97798,0.0,0.0,40939970.44759749,39256117214.07494,1.5391097e-11,1.485312423e-09,14.443405852803261,-0.08119329893533078,0.27699682457430913,0.19580352563897946
9,1709510400,1710115200,3.8717236193076926e-19,3778.3636896647095,6885.638256386463,3.929705718452254e+18,1500703520.0,1035475249039632,-0.05065685,43594764367.797005,0.0,0.0,50711503.26973677,41799166141.14611,2.0313436e-11,6.87784805e-10,61.07128603952681,-0.9322443112239183,1.1712301432238017,0.23898583199988907
10,1710115200,1710720000,3.642856807409089e-19,4264.982820994934,7737.726366703029,4.1849877644415846e+18,708098241.0,1111023880750129,-0.05046581,43673287620.01161,0.0,0.0,0.0,43673287620.01161,0.0,0.0,-14.334128400456706,0.2749010926114985,-0.2749010926114985,0.0
11,1710720000,1711324800,3.45858776311933e-19,3676.0628066397517,6705.462940827107,4.367328762001161e+18,0.0,1021897136176863,-0.05081571,43673287620.06243,0.0,0.0,0.0,43673287620.06243,0.0,0.0,6.066782542474986e-09,-1.1634925423924631e-10,1.1634925423924631e-10,0.0
12,1711324800,1711929600,3.6398108831953058e-19,3731.4063568860142,6814.4131878247645,4.367328762006243e+18,0.0,1019319122889104,-0.05078043,43673287620.113205,0.0,0.0,0.0,43673287620.113205,0.0,0.0,6.062531091202849e-09,-1.1626771955731489e-10,1.1626771955731489e-10,0.0
13,1711929600,1712534400,3.4480406880889903e-19,3638.607480591599,6653.477179223737,4.367328762011321e+18,0.0,1007153947136140,0.12798041,43531504041.807945,5e-16,5.1451684e-11,167451.45403628,43672981963.51575,9.403e-15,0.0,-0.013244814984306418,0.0006998708229227337,-0.00025401015038395875,0.0004458606725342379
14,1712534400,1713139200,3.159677248682406e-19,3856.2073606513377,7030.439460415888,4.3673149414969784e+18,9403.0,1046715425773381,-0.05068653,43673176604.374794,0.0,0.0,0.0,43673176604.374794,0.0,0.0,-0.00030683648067384784,5.884535245799822e-06,-5.884535245799822e-06,0.0
15,1713139200,1713744000,3.151406833994895e-19,3203.6645604488867,5886.306870894587,4.3673176604374794e+18,0.0,945667818916270,-0.05112756,43673176604.42593,0.0,0.0,3016197.37677057,43673176604.42593,9.76401e-13,0.0,0.7300304062122098,-1.1706129447110755e-10,0.014000583132836898,0.014000583015780506
16,1713744000,1714348800,3.2627715888491236e-19,3303.7255525922355,6083.577128927306,4.3676192801802696e+18,976401.0,952035216683998,-0.05106626,43679281809.56136,0.0,0.0,1906503.82445875,43679281809.56136,6.32476e-13,0.0,0.4705148671210133,-0.00022083029858865812,0.009023572794101625,0.008802742495517149
