evt_block_number,evt_block_time,evt_tx_hash,owner,origin,amount,amount0,amount1,tick_lower,tick_upper,evt_index
19159055,2024-02-05 07:18:35,0xe77a10cd5ee705740f52b8f1593e5a70c206043815b8ce6e3de66457e519fa3e,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,252719448616849062756352,110.964107465988558372,16.938838365402450966,-340,-330,80
19906729,2024-05-20 02:40:47,0xeab2704ea48795a41820b4c6cd363115748c07c5b92e4d9a202fd8cd76e7ed5c,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb8bba950391d86df52a0dc05ea89c6e7dae88bdb,63013402899942503312878,42.77478955848219255,20.620470948007418784,-380,-360,226
19470968,2024-03-20 00:47:23,0xec1281ac37890e72c52477c1a04ccc1bfff6b23ed0e8ea8eabee0a140411a421,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,1167295123653243403501568,366.257011411814944325,219.732778489762601518,-350,-340,71
19880960,2024-05-16 12:10:47,0xece863ad990ac6de78325dcb2622a756157ec5038fbd00eec17b20801e62905d,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xe6d7f4b65c774395d0d82aabb15c75991628cb14,202732465011928558526673,110.729706203041941346,92.249376942963726209,-380,-360,65
19615811,2024-04-09 09:49:11,0xf2881fb1d4f5562b06e8f0dfcfa42c62da5d47b5a72358c60b642ab8edd44084,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-370,-310,80
19615811,2024-04-09 09:49:11,0xf2881fb1d4f5562b06e8f0dfcfa42c62da5d47b5a72358c60b642ab8edd44084,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-370,-310,82
19615811,2024-04-09 09:49:11,0xf2881fb1d4f5562b06e8f0dfcfa42c62da5d47b5a72358c60b642ab8edd44084,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-360,-330,88
19615811,2024-04-09 09:49:11,0xf2881fb1d4f5562b06e8f0dfcfa42c62da5d47b5a72358c60b642ab8edd44084,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-360,-330,90
19937450,2024-05-24 09:47:35,0xf41947c7269c5434da2c9dac4b101d37ceb92d335620b8b3dcb1983cbfc9b578,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-390,-330,44
19937450,2024-05-24 09:47:35,0xf41947c7269c5434da2c9dac4b101d37ceb92d335620b8b3dcb1983cbfc9b578,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-390,-330,46
19937450,2024-05-24 09:47:35,0xf41947c7269c5434da2c9dac4b101d37ceb92d335620b8b3dcb1983cbfc9b578,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-380,-350,52
19937450,2024-05-24 09:47:35,0xf41947c7269c5434da2c9dac4b101d37ceb92d335620b8b3dcb1983cbfc9b578,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-380,-350,54
19197853,2024-02-10 17:57:47,0xf4ff63ddfc7eb9558928dee904024c326ef152b154c9ef23a836c50a924ab66e,0x0d3c2261747b2079f6abd459642421a8087aead5,0x4f80b2cd1f550f81581c15f690bdd623f3824c86,14151331559972559311314,9.573983822325450225,4.655055574229405379,-350,-330,114
19146821,2024-02-03 14:04:35,0xf678768a5df233bd1f1dae686b9e858ac3ab1afd0382cf899965319edd83e6da,0x0d3c2261747b2079f6abd459642421a8087aead5,0x4f80b2cd1f550f81581c15f690bdd623f3824c86,25584030978805103235916,16.315299671554446357,9.375731597974518054,-350,-330,64
19942505,2024-05-25 02:44:59,0xf787b0e15fc0e08b01fd06282e1ddbf5eed722bdae6f75b4e301d3739fd987e3,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,3768176784919898747514205,10333.271220136524556028,1131.368803992910761557,-390,-330,4
19942505,2024-05-25 02:44:59,0xf787b0e15fc0e08b01fd06282e1ddbf5eed722bdae6f75b4e301d3739fd987e3,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,10835146845696079461422227,16551.214441659537464123,0,-380,-350,16
19134803,2024-02-01 21:35:23,0xf8c553ca146811bf9f27e63becaa36974c7ac66139681fe55223c43e6f8f132e,0xb0000000aa4f00af1200c8b2befb6300853f0069,0xefae7395c20eb28f4f9810e8688a5ea79e1e24ed,145436824028933767689355,73.684610356502786123,0,-270,-260,16
19908836,2024-05-20 09:44:35,0xfd48ea58a95251fdd83cec426b895939f736d0be7ef85fcfda2305804f1bc67c,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-390,-330,88
19908836,2024-05-20 09:44:35,0xfd48ea58a95251fdd83cec426b895939f736d0be7ef85fcfda2305804f1bc67c,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-390,-330,90
19908836,2024-05-20 09:44:35,0xfd48ea58a95251fdd83cec426b895939f736d0be7ef85fcfda2305804f1bc67c,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-380,-350,96
19908836,2024-05-20 09:44:35,0xfd48ea58a95251fdd83cec426b895939f736d0be7ef85fcfda2305804f1bc67c,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-380,-350,98
19623000,2024-04-10 09:59:23,0xfe764f29957a25230e622ad39bbce46018e67542489c4df5e30f38acde3c1851,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-370,-310,71
19623000,2024-04-10 09:59:23,0xfe764f29957a25230e622ad39bbce46018e67542489c4df5e30f38acde3c1851,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-370,-310,73
19623000,2024-04-10 09:59:23,0xfe764f29957a25230e622ad39bbce46018e67542489c4df5e30f38acde3c1851,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-360,-330,79
19623000,2024-04-10 09:59:23,0xfe764f29957a25230e622ad39bbce46018e67542489c4df5e30f38acde3c1851,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-360,-330,81
