episode,step_count,raw_reward,scaled_reward,fee_earned,impermanent_loss,cumulative_reward,raw_action_0,raw_action_1,price_lower,price_upper,curr_sqrtPriceX96,curr_price,tick,feeGrowthGlobal0X128,feeGrowthGlobal1X128,liquidity_raw,blockTimestamp,tickCumulative,secondsPerLiquidityCumulativeX128,scaled_curr_price,scaled_liquidity,scaled_feeGrowthGlobal0x128,scaled_feeGrowthGlobal1x128
1,1,0.0,0.0,0.0,0.0,0.0,0.5335195660591125,0.5190775394439697,1876.7262376589538,1895.4935000355433,3512876788539942135717740362712,1965.9237418274079,75840,54644186416289538991693591308873039,111730596438978352552544526493021216628,44695306068465761930000,1697974833,326662121358704,38303718432145312631280730,0.30083490034388777,0.2857191604206867,-0.9943399743627006,-0.9944903161976938
1,2,0.0,0.0,0.0,0.0,0.0,0.525730550289154,0.514924943447113,1816.085440799056,1834.2462952070466,3500089229175992894370338260731,1951.6370976006074,75768,54728556941836503491850987968710040,111730596438978352552544526493021216628,44579397187765834130000,1697974843,326662122117104,38303718508298911777364847,0.022139354136478766,0.06420847030106623,-0.3003624014633563,-0.3013591813863528
1,3,0.0,0.0,0.0,0.0,0.0,0.5071809887886047,0.5039556622505188,1970.2655907428828,1989.9682466503116,3510986448265041302619012157959,1963.808515386664,75830,54728556941836503491850987968710040,111871428534078081214096952261476877152,44695326704737165320000,1697974853,326662122874784,38303718584591070342815632,0.1998991979287512,0.10198203997548577,-0.11076032312252197,-0.08170495764475583
1,4,0.0,0.0,0.0,0.0,0.0,0.5053905844688416,0.5032423734664917,1849.2302101936511,1867.7225122955876,3528488279281228538551377433342,1983.435996717687,75929,54728556941836503491850987968710040,112097616473399974769593697461271439365,44893694640337351650000,1697974863,326662123633084,38303718660623917394861867,0.743027053001,0.4328507583541936,-0.035006169607276524,-0.00033418781223714826
1,5,0.0,0.0,0.0,0.0,0.0,0.518679141998291,0.5083513855934143,1563.3098920868333,1578.9429910077017,3518129821519757179016300984114,1971.8076849528993,75870,54796249306328469580192987642851510,112097616473399974769593697461271439365,45061969523507548200000,1697974873,326662124392374,38303718736336365385231078,-0.751981420651402,0.7973742021684407,0.11889850653927615,-0.2095508438441294
1,6,0.0,0.0,0.0,0.0,0.0,0.5231780409812927,0.5043960213661194,1751.0921289480214,1768.6030502375015,3523960842393677080849514469487,1978.349330984511,75903,54796249306328469580192987642851510,112172974679886773117734773183490132166,45323026390649809180000,1697974883,326662125151074,38303718811720191494652672,0.8405338152030045,1.0142603752850947,-0.3517796386995156,0.15277022153553904
1,7,0.0,0.0,0.0,0.0,0.0,0.5240237712860107,0.515207827091217,1929.3011345332643,1948.594145878597,3533855956573538165347825125674,1989.4751508342383,75960,54796249306328469580192987642851510,112300855898921946296501682037789259704,45551592893542124030000,1697974892,326662125834201,38303718879216266718380700,1.0356335447736813,0.9921997514050884,-0.1106281400537557,0.47318052915121533
1,8,-1.1368683772161603e-13,-1.9974618458508753e-11,0.0,1.1368683772161603e-13,-1.9974618458508753e-11,0.5303443670272827,0.5214353203773499,2010.7714810754837,2030.8791958862387,3527891341639559073010067741907,1982.7649515781936,75926,54835061080249643494355692233593497,112300855898921946296501682037789259704,45435663376570792840000,1697974901,326662126517841,38303718946467691779773826,-0.872207969074379,-0.7623761410623318,0.9483920657033561,-0.9999658662097756
1,9,-0.037352245913345544,-2.800562131837086,0.14317706064512367,0.18052930655846922,-2.8005621318570606,0.5402377247810364,0.518610954284668,1915.8425577986623,2156.224325370457,3541276255128031225493896317988,1997.8388185803537,76002,54835061080249643494355692233593497,112473838142731707082640953158894213480,45875257775251338640000,1697974915,326662127581033,38303719050477631059992647,1.0430548127833672,1.0524776153490936,-0.9841469061948666,1.0218543667874438
1,10,-0.0379505183720794,-2.8138382217324436,0.07758918424942475,0.11553970262150415,-5.614400353589504,0.520202100276947,0.5426481366157532,1864.7205196990135,2394.4155566669847,3557144027559482942070328945964,2015.7827873762567,76091,54835061080249643494355692233593497,112678908043394060717047222951672457630,46121978595883957960000,1697974926,326662128417322,38303719131647188890322446,1.0251647402410917,0.6224245942236735,-0.29847735607445625,0.7130055328309269
1,11,0.16494246347828476,3.1554661364342556,0.2418594040250512,0.07691694054676645,-2.4589342171552486,0.5075415372848511,0.47220364212989807,2024.354284528662,2044.5978273739486,3569204314837387073563406221638,2029.474744568412,76159,54835061080249643494355692233593497,112834771251334772175990693099127056385,46715660687065001460000,1697974937,326662129254527,38303719211401830915647916,0.9775318339471125,1.053346353456133,-0.09401069177552941,-0.9400639920030147
1,12,0.0,-0.5144660966767497,0.0,0.0,-2.9734003138319984,0.5077738165855408,0.38723668456077576,1506.118327283756,1521.1795105565934,3583294215212558388937890628916,2045.5296049116555,76237,54835061080249643494355692233593497,113016864515071759929043967963221844107,46805593624383518820000,1697974945,326662129863799,38303719269632784414595073,1.0089275209115474,-0.9495704201227123,-0.02971697463957813,0.8544906125845878
1,13,0.0,-1.5349740174213005,0.0,0.0,-4.5083743312532985,0.47463878989219666,0.3977576196193695,1794.9380427838146,1812.8874232116527,3587331669829995056770048227420,2050.1417775049827,76260,54835061080249643494355692233593497,113069043257923238403540600359071378167,48199745344024153820000,1697974955,326662130626169,38303719341703149395877827,0.7783717481989181,0.9661008644598217,-0.009396959080616819,-1.0517661495292
