Tick, Second, Min, Hour, Day, Month, Year, LP_token1, LP_token0, Trader_token1, Trader_token0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999855634.9, 999999999913.8721, 5500000000128808.0, 4999999999999934.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999840450.02, 999999999910.6665, 5500000000172591.0, 4999999999999912.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999829971.45, 999999999904.3376, 5500000000188967.0, 4999999999999904.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999813701.2, 999999999899.9791, 5500000000167567.0, 4999999999999914.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999813701.2, 999999999899.9791, 5500000000128263.0, 4999999999999934.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999802796.14, 999999999890.3928, 5500000000159603.0, 4999999999999918.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999802796.14, 999999999890.3928, 5500000000141021.0, 4999999999999928.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999786055.39, 999999999887.4706, 5500000000116801.0, 4999999999999940.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999768825.28, 999999999881.5344, 5500000000083673.0, 4999999999999956.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999760590.12, 999999999873.9525, 5500000000056389.0, 4999999999999970.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999749173.27, 999999999870.652, 5500000000012103.0, 4999999999999992.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999729216.75, 999999999864.8353, 5500000000032112.0, 4999999999999982.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999729216.75, 999999999864.8353, 5500000000006654.0, 4999999999999995.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999708653.42, 999999999858.3083, 5499999999959972.0, 5000000000000018.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999708653.42, 999999999858.3083, 5499999999980700.0, 5000000000000008.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999694829.12, 999999999852.6809, 5499999999997238.0, 4999999999999999.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999676175.06, 999999999845.9728, 5499999999976938.0, 5000000000000010.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999676175.06, 999999999845.9728, 5499999999929625.0, 5000000000000033.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999676175.06, 999999999845.9728, 5499999999953263.0, 5000000000000021.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999664894.77, 999999999844.1682, 5499999999992508.0, 5000000000000001.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999664894.77, 999999999844.1682, 5500000000033856.0, 4999999999999981.0
