episode,step_count,scaled_action_0,scaled_action_1,raw_reward,scaled_reward,fee_earned,impermanent_loss,cumulative_reward,raw_action_0,raw_action_1,curr_sqrtPriceX96,curr_price,tick,feeGrowthGlobal0X128,feeGrowthGlobal1X128,liquidity_raw,blockTimestamp,tickCumulative,secondsPerLiquidityCumulativeX128,scaled_curr_price,scaled_liquidity,scaled_feeGrowthGlobal0x128,scaled_feeGrowthGlobal1x128
1,1,1158.5104979542928,2851.3573289870737,0.09003915954651025,0.9003915954651025,0.09070503992785821,0.0006658803813479608,0.9003915954651025,0.49861571192741394,0.5007848739624023,3543770222958182128066862713989,2000.6537925502444,76016,11972840145397798149653395599950,31417014027059174675284518744660555,1747733662569980353600000,1705553627,19717142586,50619131234425397714,0.40013075851004887,1.7482910950182138,0.0011972840145397798,3.141701402705918
1,2,1120.7359889008635,2823.7216726286724,0.10742848195546557,1.0742848195546557,0.10868704160053184,0.0012585596450662706,1.9746764150197582,0.49837663769721985,0.5023664236068726,3542965556387745384419451711881,1999.7453383598317,76011,31511418466513819686898096155420,60113694669567035896650048776270243,1750859695570823916000000,1705812833,39421723501,100999427861448334383,0.39994906767196636,1.7514054371240833,0.0031511418466513823,6.011369466956704
2,1,14353.41126322369,35392.9859126957,-14.175273558801464,-141.75273558801464,1.848759151280419,16.024032710081883,-141.75273558801464,0.4952675700187683,0.501908004283905,12208663155458815795134792058939,23745.26689653466,100756,168893571482905043442714440510333,0,405310292460154644000000,1706072039,78700347248,652939695349369524736,4.749053379306932,0.4054671587434709,0.016889357148290506,0.0
2,2,14542.878979039026,34975.57634167289,0.04186779580824038,0.41867795808240377,0.1754934545847496,0.13362565877650923,-141.33405762993223,0.4955064058303833,0.501750648021698,12236635131270407081212301504832,23854.199859741027,100802,168893571482905043442714440510333,361500665943693976194993515643584254,405310292460154644000000,1706331244,104822681508,870224963907978621323,4.770839971948205,0.40547548531795846,0.016889357148290506,36.1500665943694
