episode,step_count,raw_reward,scaled_reward,fee_earned,impermanent_loss,cumulative_reward,raw_action_0,raw_action_1,price_lower,price_upper,curr_sqrtPriceX96,curr_price,tick,feeGrowthGlobal0X128,feeGrowthGlobal1X128,liquidity_raw,blockTimestamp,tickCumulative,secondsPerLiquidityCumulativeX128,scaled_curr_price,scaled_liquidity,scaled_feeGrowthGlobal0x128,scaled_feeGrowthGlobal1x128
1,1,0.0,0.0,0.0,0.0,0.0,0.5016185641288757,0.5198000073432922,2009.3688034209924,2140.93777514098,3736580673572654275646323763395,2224.2805228736,77075,43648996347978093667625943154070176,91982897474844861632175155702504844708,41545803054504316820000,1697962979,326661220642978,38303630745340280083128914,0.3306202810061099,0.33844886773382277,-0.9944903161976938,-0.9943483021706156
1,2,0.0,0.0,0.0,0.0,0.0,0.5338386297225952,0.4823298752307892,2068.093865428455,2152.2131864300595,3744659833469349585323541160957,2233.9095110324647,77118,43648996347978093667625943154070176,92087309894710842856469090195585254905,41299766963671224700000,1697962988,326661221336653,38303630819103891549779172,0.14663400729947795,0.047433907437620056,-0.30135918138635276,-0.3014152739063965
1,3,0.0,0.0,0.0,0.0,0.0,0.528035044670105,0.5147790908813477,2014.409720214367,2045.0936380159114,3758169852576179762718260352995,2250.057627900213,77190,43648996347978093667625943154070176,92261908962611055721472693243453419596,41025729376303010370000,1697962998,326661222107833,38303630901552217225122018,0.2660349814638183,-0.19128582224751,-0.09491104939134803,-0.08692060776820393
1,4,0.0,0.0,0.0,0.0,0.0,0.531022310256958,0.5334547758102417,2037.360812561911,2104.8883773486536,3745413987062725404306541366932,2234.8093954575584,77122,43722511832605164279288114725436607,92261908962611055721472693243453419596,41156597347833944250000,1697963008,326661222879733,38303630984416743349345566,-0.5056518425142564,0.24385876609675633,0.026145134427462,-0.09063846238382615
1,5,0.0,0.0,0.0,0.0,0.0,0.5351730585098267,0.5576944947242737,2145.641563202668,2198.296657118091,3731288369614194490705316292162,2217.9842679195485,77047,43804508069815730612458351911144632,92261908962611055721472693243453419596,40881742881527033550000,1697963018,326661223650953,38303631067152238049294543,-0.9491302245357097,-0.9254742909251387,0.028740468030438095,-0.0286518081482755
1,6,0.0,0.0,0.0,0.0,0.0,0.5552557706832886,0.5883529782295227,2245.0312643296393,2274.9717592922134,3743132588590537443240407862440,2232.087700089728,77110,43804508069815730612458351911144632,92414979774496879930559561279239725822,40443847530690075750000,1697963027,326661224344376,38303631142154559523936941,0.9356267088459663,-1.0326128178414593,-0.5324522515026872,0.4843146127727696
1,7,0.0,0.0,0.0,0.0,0.0,0.6195621490478516,0.6635135412216187,2160.9825011431903,2222.634516567779,3737709387065585117498745119731,2225.624508107098,77081,43835953687213568990496570298158783,92414979774496879930559561279239725822,40241914964429837690000,1697963037,326661225115476,38303631226375990667640008,-0.8085777588677459,-0.902482227086326,0.4419924763148792,-0.8429227153379586
1,8,-0.22685426337593978,-2.6399416005321257,0.3137871344891619,0.5406413978651017,-2.6399416005321257,0.5742586851119995,0.6588003635406494,2145.907917862149,2337.777298747559,3718431472876122577832086868295,2202.725589188485,76978,43948476312030885642097067644421882,92414979774496879930559561279239725822,40336374608218692270000,1697963063,326661227118964,38303631444583623416140925,-1.049647446008413,1.0368159772195524,1.0313316243429551,-0.25842101323026145
1,9,-0.21748724094193161,-2.606200180761817,0.5312983916821173,0.748785632624049,-5.246141781293943,0.6377052664756775,0.7722778916358948,2188.99352647497,2254.076552321482,3734200499273747061048310606645,2221.447724857898,77062,43948476312030885642097067644421882,92618773513717214476713670917318876045,40798990948278012430000,1697963075,326661228042952,38303631543633481863369347,0.9597703101339579,1.0398571608700466,-1.020477555150042,1.050039275410845
1,10,0.0,1.7626472695500817,0.0,0.0,-3.4834945117438614,0.6865583062171936,0.8317612409591675,2115.4307948227515,2164.7085522304696,3717296637412503850189780850445,2201.3812859872464,76972,44047264770503421724454496748171920,92618773513717214476713670917318876045,40336374608218692270000,1697963081,326661228505324,38303631593771900472564033,-1.0071943810204238,-1.0231167678661621,0.9836772477413201,-0.994892853862462
2,1,-5.684341886080802e-14,2.7175841745676297,0.0,5.684341886080802e-14,2.7175841745676297,0.6372491121292114,0.7231333255767822,2227.570543224289,2337.660110129136,3736286372182785260481133395054,2223.9301581271643,77074,44047264770503421724454496748171920,92864190634473702129431012386503002076,40509699595401110670000,1697963110,326661230737512,38303631838347097651881474,1.0498410184999625,0.8072423020155618,-0.3029266873118366,1.0504526349287038
2,2,-0.008069052098957336,2.989694825868066,0.12105812596024959,0.12912717805920693,5.707279000435696,0.6837424039840698,0.8640965223312378,2056.008361998592,2382.974870799039,3748278326510678387541708888476,2238.228884165793,77138,44047264770503421724454496748171920,93019170729719720107293544984372858991,40791449566720987070000,1697963126,326661231970952,38303631971799002669690762,0.9685574936540264,1.0468536962225545,-0.09540069145179818,-0.6849583163117677
2,3,0.0,3.3412744103760432,0.0,0.0,9.048553410811738,0.7768765687942505,0.8610942959785461,2276.9815260007526,2300.211193344252,3756512279086183639239926725302,2248.0732506490094,77182,44047264770503421724454496748171920,93125583639534996015178278938931117931,40959797552543362420000,1697963133,326661232510918,38303632030090160054854415,0.9447168611939264,-0.235253918598055,-0.030155999427440343,-0.9107064020012832
