episode,step_count,raw_reward,scaled_reward,fee_earned,impermanent_loss,cumulative_reward,price_lower,price_upper,curr_sqrtPriceX96,curr_price,tick,feeGrowthGlobal0X128,feeGrowthGlobal1X128,liquidity_raw,blockTimestamp,tickCumulative,secondsPerLiquidityCumulativeX128,scaled_curr_price,scaled_liquidity,scaled_feeGrowthGlobal0x128,scaled_feeGrowthGlobal1x128
1,1,-0.845588661456994,0.0,0.011376534121942812,0.8569651955789368,0.0,1570.6506,2683.9814,3639000456155652408798007160360,2109.6239758626907,76546,33864153164580253489522255241033947,68778723276114105113743703802428895939,48480644510250688490000,1697930067,326658680311216,38303348851357783163370921,0.31181377993314946,0.3545336694019214,-0.9944072740351494,-0.9944903161976938
1,2,1.4265420707106922,0.8489822916386458,0.019212117479295455,-1.4073299532313968,0.8489822916386458,1556.9355,2668.1936,3645565719292694333152659763183,2117.242952867859,76582,33864153164580253489522255241033947,68863570589443782439578652594387511441,48114664077437274690000,1697930073,326658680770564,38303348893575346931243433,0.13380273122098002,0.03582914804202474,-0.3034362150966217,-0.2975597300195349
1,3,-2.526667624139288,-1.2224059319842449,0.03551489036357733,2.562182514502865,-0.37342364034559905,1577.0498,2650.466,3633679552334519047443520377842,2103.459151318124,76517,33936943780573708691951703096574128,68863570589443782439578652594387511441,49300601746032595690000,1697930082,326658681459607,38303348956297278476262347,-0.1616858784900696,0.6314839409206485,-0.0730020840388123,-0.10662399508187671
1,4,-1.2247776918838842,-0.5350438747039206,0.016908143180688357,1.2416858350645725,-0.9084675150495196,1571.5779,2653.8628,3628164373774388789528380572196,2097.0787599182986,76486,33970880598887901906181067984245559,68863570589443782439578652594387511441,49534146664959914340000,1697930091,326658682148167,38303349018164452449046754,-0.3313183224195509,0.5147426946502681,-0.0613354598716451,-0.033700231460307074
1,5,-1.2010515306098373,-0.8241890863497854,0.016382466801197957,1.2174339974110353,-1.732656601399305,1570.428,2651.2566,3622881134288665245784148121915,2090.9757825322527,76457,34003487113824884061474533833202980,68863570589443782439578652594387511441,49436982842619790260000,1697930101,326658682912940,38303349086824237741943945,-0.7098098740287381,-0.2681917747052,-0.02353577447103109,-0.010656404308646842
1,6,0.9543374736290965,2.1755585356076645,0.012977421663834632,-0.9413600519652618,0.44290193420835955,1589.7275,2645.4548,3626851424539710685337710045171,2095.5612654054607,76479,34003487113824884061474533833202980,68914881321993033571054645661719424266,49225561176982883830000,1697930114,326658683906991,38303349176379878923864108,0.8131786321783118,-0.9938026030320265,-0.31378871968588046,0.23890501950266968
1,7,-2.5239507465327273,-2.2843061204393917,0.03404725505820416,2.5579980015909314,-1.8414041862310322,1567.8624,2653.0376,3615669537110251217038483686797,2082.6596019447393,76417,34072660931652274729188019776708438,68914881321993033571054645661719424266,48866232204229644730000,1697930122,326658684518699,38303349231777234968836072,-1.0455899390577228,-1.0364846225466824,0.9281633827748563,-0.5774961590536773
1,8,-2.076267673538978,-2.2297816872200924,0.0280991410899967,2.1043668146289747,-4.071185873451125,1603.2826,2639.2927,3607366008535904040566524411884,2073.1047652422076,76371,34124306001691479061634696345763417,68914881321993033571054645661719424266,49962929668014357530000,1697930130,326658685129943,38303349286800200820044976,-0.9888765257653978,1.0470191156739026,-0.4427991448692795,-0.1799398238457128
1,9,-1.7928719251799932,-2.3756267671012523,0.023299605744641457,1.8161715309246347,-6.446812640552377,1549.4343,2661.1365,3599732746950161736341346320222,2064.340581962404,76329,34171992430871698714642535161282539,68914881321993033571054645661719424266,50047249500848554640000,1697930138,326658685740785,38303349341174257337213132,-0.9885949079130122,0.4983545265620806,-0.5510889852444746,-0.05681924166275276
1,10,2.2401225207814326,2.9869313723535953,0.028468406999031273,-2.2116541137824015,-3.4598812681987816,1562.5471,2653.3062,3608540449233187459450979159095,2074.4548555496535,76378,34171992430871698714642535161282539,69028709185358630411628622549890973793,50240105221736900660000,1697930146,326658686351564,38303349395357179485561929,0.9906457144310763,0.9176282720186336,-1.0519789072611385,1.0537929860874293
1,11,1.8188252889332353,2.9273779774747704,0.025283020897754735,-1.7935422680354804,-0.5325032907240113,1520.0447,2608.019,3617294775000755640103658501146,2084.5323273132703,76426,34171992430871698714642535161282539,69141847228097553480903451826257322831,50047249500848554640000,1697930152,326658686809928,38303349436022793964565724,1.015180807427445,-0.9668334181129843,-0.31724135173764567,0.3000825404425896
1,12,1.3208874758890425,3.0209287698208573,0.019185672748283793,-1.3017018031407588,2.488425479096846,1489.6777,2590.43,3624402262744068921557781247387,2092.7320148611716,76466,34171992430871698714642535161282539,69233702074880656950897134432513018806,49433304291451159140000,1697930159,326658687345030,38303349483896308665254575,0.9826857225673576,-1.0491054404288438,-0.09986924636919377,-0.9089145584237288
1,13,-0.5356219202197728,-0.9518933734982897,0.008499388275732388,0.5441213084955052,1.5365321055985564,1436.8813,2559.2344,3620901706834306546402825575273,2088.6915209042627,76446,34193631023711419322309759677693253,69233702074880656950897134432513018806,49804858505192519140000,1697930167,326658687956698,38303349538647235805626943,-0.7401544238251521,0.8745528129059315,1.0511794005334008,-1.0508210833567737
1,14,-1.3858887333181653,-3.556403569885774,0.02430325006064356,1.4101919833788088,-2.0198714642872178,1420.2058,2498.1477,3610638906018586769635602085291,2076.8682521364317,76389,34257312076120192340096469413439151,69233702074880656950897134432513018806,49690323907495624130000,1697930173,326658688415260,38303349579645402513268725,-1.047137363307665,-0.632168984854954,1.041671163728854,-0.3169237698572287
