episode,step_count,scaled_action_0,scaled_action_1,raw_reward,scaled_reward,fee_earned,impermanent_loss,cumulative_reward,raw_action_0,raw_action_1,curr_sqrtPriceX96,curr_price,tick,feeGrowthGlobal0X128,feeGrowthGlobal1X128,liquidity_raw,blockTimestamp,tickCumulative,secondsPerLiquidityCumulativeX128,scaled_curr_price,scaled_liquidity,scaled_feeGrowthGlobal0x128,scaled_feeGrowthGlobal1x128
1,1,403.8128080842893,1269.8311014127735,0.05744158443926623,0.5744158443926624,0.05847762801463447,0.0010360435753682395,0.5744158443926624,0.32449769973754883,0.331238716840744,2505971493576399191891007442096,1000.444694279067,69085,11408851553277430627341629736354,18606560830969490849725392843312141,2205008619447275110000000,1707627581,161191014763,360068925007420044195,0.2000889388558134,2.2056714636724464,0.0011408851553277432,1.8606560830969492
1,2,661.7276157176437,1312.5723712208205,0.12451392986760873,1.2451392986760874,0.15777011021011383,0.033256180342505104,1.8195551430687498,0.5959264039993286,0.38631242513656616,2508529660350359006347551150769,1002.488301469252,69105,21467648669520648344565483132866,61732801297036169855727697804546278,2206364938590401614300000,1707886788,179099367182,400043245991958785084,0.20049766029385038,2.207373890272996,0.0021467648669520646,6.173280129703617
2,1,3590.939086051765,35376.46495634697,-2.4730683738674597,-24.730683738674596,0.7134869672860479,3.1865553411535075,-24.730683738674596,0.06281402707099915,0.6987977027893066,11607601422889089837405283489854,21464.74861688008,99746,548508390839876237172519436307362,825801933074465811830930251322366421,296744530752621814300000,1708145997,287059169307,2717854016387455348332,4.292949723376016,0.296827744795261,0.05485083908398763,82.58019330744658
2,2,21061.620653696194,22114.701686381006,-1.9704974469147327,-19.704974469147327,3.7661725458823003,3.736669992797033,-44.43565820782192,1.4846363067626953,-0.3706253170967102,11642255402435947051209310045783,21593.104042179322,99806,548508390839876237172519436307362,1273658629654218969918432194190914459,295683547975457082840000,1708405204,312922498125,3013186435332485397284,4.318620808435864,0.29854509301415516,0.05485083908398763,127.3658629654219
