episode,step_count,raw_reward,scaled_reward,fee_earned,impermanent_loss,cumulative_reward,price_lower,price_upper,curr_sqrtPriceX96,curr_price,tick,feeGrowthGlobal0X128,feeGrowthGlobal1X128,liquidity_raw,blockTimestamp,tickCumulative,secondsPerLiquidityCumulativeX128,scaled_curr_price,scaled_liquidity,scaled_feeGrowthGlobal0x128,scaled_feeGrowthGlobal1x128
1,1,1.0336487793695537,0.0,0.016760662702534675,-1.016888116667019,0.0,1669.7578,2786.482,3801800062179219749606234863130,2302.6046608906113,77421,15270660710578387706954097709197667,31544218628291889621343032563426237272,42059594754755469660000,1697926172,326658382182599,38303317754252920168062088,0.32721917362741965,0.3462674092655527,-0.9944903161976938,-0.9941801099595619
1,2,3.2331204699912095,0.8411319435317953,0.049560280521692174,-3.1835601894695174,0.8411319435317953,1711.3186,2838.7249,3819037648506436219940298770389,2323.532288554043,77512,15270660710578387706954097709197667,31766991555686186997871337922919067258,41714349804203037360000,1697926176,326658382492374,38303317786704675619673951,0.1915976588242936,0.028158838612669466,-0.3013591813863528,-0.28720634194444733
1,3,3.4222322325173353,0.8867271903227475,0.05330270740762877,-3.3689295251097064,1.7278591338545428,1719.1642,2857.1636,3837838628014888353725278641087,2346.4659257710546,77610,15270660710578387706954097709197667,32009969265179370759721397589685910497,41079945018048002760000,1697926181,326658382880130,38303317827684642948208253,0.35074471443058036,-0.42966613613920535,-0.09491104939134805,-0.08371289752683742
1,4,2.0015375541775726,-0.7768262199261907,0.03338410619092143,-1.9681534479866514,0.9510329139283521,1723.3926,2841.4048,3850031080982146197881582870088,2361.398611873135,77673,15270660710578387706954097709197667,32167540539258780788160333507992452067,41472980384655659610000,1697926186,326658383268243,38303317868887231940713557,0.5919824370459575,0.5916303094459657,-0.03000135009113183,-0.11694752599745413
1,5,-3.1358075500205276,-1.988216631983817,0.053228633178636374,3.189036183199164,-1.037183718055465,1708.0466,2837.401,3829703901146223510919815219244,2336.529275568785,77568,15382499593823413855707758695108400,32167540539258780788160333507992452067,40839860337355332610000,1697926191,326658383656398,38303317910110596166108306,-0.968103168163783,-1.0078080788839519,0.6178277538814381,-0.4985177619822585
1,6,-1.7088131350631313,-1.736437331321779,0.027114886391110968,1.7359280214542423,-2.773621049377244,1676.6448,2854.5193,3819035681178234826208661745276,2323.5298946790194,77512,15441671856130006900057197046036036,32167540539258780788160333507992452067,40927589956076500690000,1697926196,326658384044126,38303317951663084288508520,-0.9353727657485119,0.13219829615067594,-0.6035217672383519,-0.15591118359410963
1,7,-3.2873026375868037,-2.288023119598154,0.051584726047253886,3.3388873636340577,-5.061644168975398,1696.013,2841.578,3799733055413420059823686629362,2300.1015279087237,77410,15549580121903261266001220232199480,32167540539258780788160333507992452067,40876328650644647730000,1697926200,326658384354072,38303317984897853713443719,-1.0297780153099965,-0.6100913990049491,0.9368471785551336,-0.04924960188972529
1,8,-3.4882471951577285,-2.4199669942955877,0.050903608618509504,3.539150803776238,-7.481611163270986,1677.6138,2850.9487,3781012147542628621474245415908,2277.4926172172763,77312,15655288855885039234436946480208958,32167540539258780788160333507992452067,41101425234420648500000,1697926204,326658384663614,38303318018061831311209198,-1.0034122861316872,1.0476403432026338,0.1485690838053774,-0.015572391971585685
1,9,-2.3173190985426437,-2.332925472338015,0.03358075615014042,2.350899854692784,-9.814536635609,1691.298,2838.8464,3769322531319325977297368998814,2263.431906004675,77250,15721827508948842559059434384461166,32167540539258780788160333507992452067,40876328650644647730000,1697926208,326658384972800,38303318051177845851724394,-0.9415733857652551,-0.9934615473339361,-1.0452863378903607,-0.004924368987964494
1,10,-2.3827012574012785,-2.7496090665295916,0.03364890268623952,2.416350160087518,-12.564145702138592,1704.8047,2839.2783,3758092366232343644791393615766,2249.9648450040295,77190,15786140767612056045559113012792616,32167540539258780788160333507992452067,40788599031923479650000,1697926212,326658385281740,38303318084462235103613225,-0.9827510186380705,-0.8879558563636291,-0.46593400360915876,-0.0015572205048320095
1,11,-3.0886924205525217,-3.052628863646597,0.04332801983664775,3.1320204403891694,-15.616774565785189,1636.686,2819.5908,3741973091287442403218115601568,2230.7050620164478,77104,15879127827910137617916689185729926,32167540539258780788160333507992452067,40296421827024921150000,1697926216,326658385590414,38303318117890577406550269,-1.023348064020752,-1.0510035470560672,1.0414927995239087,-0.0004924363077029545
1,12,-3.1140519777567937,-3.141749370275206,0.044145840788865374,3.158197818545659,-18.758523936060396,1540.1614,2788.419,3723223480388187227004401612033,2208.4066292514817,77004,15988301424956748766009781209813784,32167540539258780788160333507992452067,40075892164679858900000,1697926221,326658385975834,38303318160166521155403494,-1.0156899332770277,-0.9127446296176096,0.9529195174808065,-0.00015572203179121423
1,13,-3.20463232411691,-3.3019317299410864,0.044597586797186055,3.249229910914096,-22.06045566600148,1490.429,2763.8704,3703457009114850664582687806290,2185.0201568410635,76897,16104592894432027497242882090116716,32167540539258780788160333507992452067,40177907887906547470000,1697926225,326658386283743,38303318194049422651162767,-1.0068875983875558,0.602911012516888,0.8486265995173855,-4.924363017920301e-05
1,14,-1.0530347347946014,1.0090736512890914,0.014292934900203625,1.067327669694805,-21.051382014712388,1473.0991,2761.1597,3697158934656158596004543873672,2177.5948143472024,76863,16141907382499924941207944471280694,32167540539258780788160333507992452067,40455683421859379810000,1697926230,326658386668194,38303318236242616170025811,-0.8014707585763036,1.0441287503804153,-1.0530095885512127,-1.5572203160429437e-05
